NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1,IdLogNum,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2,ES,SES,BBE,UAS
SOEM-M,9388,RAU,2013-01-01 12:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 12:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 12:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 12:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,5.0,2.0,204.0,0.0
SOEM-M,9388,RAU,2013-01-01 12:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 12:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 12:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,2.0,1.0,112.0,0.0
SOEM-M,9388,RAU,2013-01-01 12:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 12:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,5.0,0.0,483.0,0.0
SOEM-M,9388,RAU,2013-01-01 12:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 12:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 13:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 13:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 13:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,6.0,1.0,452.0,0.0
SOEM-M,9388,HC,2013-01-01 13:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,5.0,0.0,382.0,0.0
SOEM-M,9388,RAU,2013-01-01 13:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 13:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 13:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,1.0,0.0,32.0,0.0
SOEM-M,9388,RAU,2013-01-01 13:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 13:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 13:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 13:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 13:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,3.0,0.0,89.0,0.0
SOEM-M,9388,RAU,2013-01-01 14:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 14:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 14:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,1.0,1.0,0.0,0.0
